"Wavelength","HOURS","sample_name","sample","blank","intensity_bl_corrected"
600,5.99138888888889,"SD-1  medium PIPES + Ferric Citrate",0.376,0.364,0.012
600,5.99138888888889,"SD-1  medium PIPES + Ferric Citrate + lactate",0.344,0.354,-0.01
600,5.99138888888889,"SD-1 Defined media + Acetate",0.196,0.196,0
600,5.99138888888889,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.799,0.268,0.531
600,6.325,"PCA + DMR",0.396,0.414,-0.018
600,6.325,"PCA + DMR + Fumarate",0.347,0.37,-0.023
600,6.325,"PCA + medium + Fumarate",0.1,0.09,0.01
600,6.325,"SD-1  DMR",0.784,0.409,0.375
600,6.325,"SD-1  DMR+ Ferric citrate",1.139,0.677,0.462
600,6.325,"SD-1  medium bicarb + Ferric Citrate",0.979,0.251,0.728
600,6.325,"SD-1  medium PIPES + Ferric Citrate",0.376,0.366,0.01
600,6.325,"SD-1  medium PIPES + Ferric Citrate + lactate",0.345,0.354,-0.00900000000000001
600,6.325,"SD-1 Defined media + Acetate",0.2,0.192,0.00800000000000001
600,6.325,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.801,0.27,0.531
600,6.65861111111111,"PCA + DMR",0.396,0.414,-0.018
600,6.65861111111111,"PCA + DMR + Fumarate",0.348,0.37,-0.022
600,6.65861111111111,"PCA + medium + Fumarate",0.1,0.092,0.00800000000000001
600,6.65861111111111,"SD-1  DMR",0.786,0.409,0.377
600,6.65861111111111,"SD-1  DMR+ Ferric citrate",1.13,0.677,0.453
600,6.65861111111111,"SD-1  medium bicarb + Ferric Citrate",0.981,0.252,0.729
600,6.65861111111111,"SD-1  medium PIPES + Ferric Citrate",0.376,0.363,0.013
600,6.65861111111111,"SD-1  medium PIPES + Ferric Citrate + lactate",0.345,0.355,-0.01
600,6.65861111111111,"SD-1 Defined media + Acetate",0.194,0.192,0.002
600,6.65861111111111,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.802,0.269,0.533
600,6.99222222222222,"PCA + DMR",0.396,0.414,-0.018
600,6.99222222222222,"PCA + DMR + Fumarate",0.348,0.37,-0.022
600,6.99222222222222,"PCA + medium + Fumarate",0.1,0.089,0.011
600,6.99222222222222,"SD-1  DMR",0.787,0.41,0.377
600,6.99222222222222,"SD-1  DMR+ Ferric citrate",1.121,0.676,0.445
600,6.99222222222222,"SD-1  medium bicarb + Ferric Citrate",0.983,0.252,0.731
600,6.99222222222222,"SD-1  medium PIPES + Ferric Citrate",0.376,0.363,0.013
600,6.99222222222222,"SD-1  medium PIPES + Ferric Citrate + lactate",0.345,0.355,-0.01
600,6.99222222222222,"SD-1 Defined media + Acetate",0.192,0.192,0
600,6.99222222222222,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.801,0.27,0.531
600,7.32583333333333,"PCA + DMR",0.396,0.414,-0.018
600,7.32583333333333,"PCA + DMR + Fumarate",0.347,0.371,-0.024
600,7.32583333333333,"PCA + medium + Fumarate",0.1,0.094,0.00600000000000001
